class,cap-shape,cap-surface,cap-color,ruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,,,,f,a,f,w,b,p,t,,k,s,n,y,p,w,t,p,h,y,g
e,f,g,y,t,,f,w,b,w,,b,s,k,b,w,p,w,o,l,,a,d
p,x,y,y,t,f,a,c,n,r,e,?,k,f,w,c,p,w,t,p,n,,d
e,f,s,u,f,p,f,w,b,n,e,b,k,f,n,,p,w,o,p,o,s,p
e,,s,w,f,n,a,c,n,g,,e,k,k,w,w,p,w,t,p,w,v,g
p,s,g,r,t,f,a,c,,o,e,?,s,s,e,o,p,w,o,l,,s,
e,x,f,,,m,f,w,,b,e,b,f,,b,e,,,o,p,w,a,d
e,b,f,e,t,s,f,c,b,o,e,b,k,s,,,p,w,o,l,,,w
p,f,s,w,f,c,a,c,,w,,b,,k,w,p,p,w,o,,y,a,p
p,k,y,n,f,f,f,w,n,u,t,?,,k,c,p,p,n,o,l,w,s,p
e,x,s,,t,,f,c,n,u,t,b,s,,w,,p,w,,n,k,v,m
p,f,y,,t,s,f,c,n,p,t,c,s,s,w,p,p,n,o,p,k,y,
e,x,y,b,f,c,f,c,b,b,e,?,s,k,,w,p,w,t,p,k,v,d
p,x,y,y,f,,f,c,n,p,t,b,s,f,g,w,p,w,n,p,u,a,d
e,f,s,u,t,m,a,,b,b,t,b,s,y,w,w,p,,o,e,r,n,
p,k,s,w,f,f,f,c,n,n,e,b,k,s,w,p,p,o,o,n,n,a,p
e,x,s,r,f,n,f,w,b,h,,,s,k,o,w,p,w,,p,w,y,d
e,x,f,e,f,n,f,w,n,b,e,e,s,y,p,e,p,n,o,p,n,c,g
p,k,s,g,f,f,f,,b,p,e,b,k,s,,w,p,w,n,f,w,s,m
p,s,s,e,f,f,f,c,n,b,t,b,s,,,p,p,,,e,w,,l
e,x,f,n,,n,f,c,b,k,t,e,s,f,p,w,p,w,t,f,o,a,g
e,s,g,,f,s,a,c,b,b,t,?,s,s,w,e,p,w,o,e,b,,d
e,b,,n,t,n,,c,b,p,t,b,s,s,b,c,,o,o,,,,w
p,,y,y,t,n,,w,n,w,e,b,s,s,y,w,p,w,,f,w,c,g
e,f,f,y,f,n,f,w,n,w,e,r,s,,g,w,p,w,n,p,,v,d
p,b,f,e,f,f,,c,b,n,t,c,k,f,w,n,p,o,o,l,u,,p
e,c,,,f,,f,c,n,,t,e,f,k,,w,p,,o,p,w,v,
e,f,f,b,t,n,a,c,,b,t,,s,k,,,p,w,o,,k,s,d
p,f,f,g,t,f,f,,b,n,t,e,y,y,n,w,p,o,t,p,k,v,u
e,f,f,g,t,c,f,w,,p,t,r,s,f,c,w,p,n,o,n,w,s,
p,f,y,u,t,p,a,c,n,h,t,r,f,k,y,w,p,w,,,h,s,d
p,x,s,r,t,l,f,c,n,h,e,b,k,k,o,e,p,w,o,p,,v,
e,f,,y,t,n,a,,b,y,t,?,,,w,,p,w,,f,n,v,u
p,,g,g,f,y,f,c,b,g,e,?,f,s,b,p,p,w,,n,h,,d
e,,s,w,t,f,a,c,b,k,t,c,s,s,w,b,p,w,o,p,,n,g
e,k,,p,t,n,,c,n,u,t,b,k,k,g,,p,w,o,n,h,v,l
e,b,y,u,f,n,a,w,n,w,t,r,k,,p,,p,w,o,p,n,v,d
e,x,s,,t,,f,c,,w,e,b,s,k,p,p,p,w,o,p,k,s,u
e,x,,u,f,s,f,c,b,n,t,?,s,f,p,p,p,n,n,p,w,,p
p,f,f,g,,s,a,w,n,k,t,?,s,f,e,,p,w,,e,n,n,d
p,f,y,c,f,m,a,c,b,h,e,c,k,,c,c,p,w,n,n,b,c,g
e,k,s,y,f,f,a,w,b,w,,r,,k,n,g,p,,t,e,w,v,g
e,x,f,,t,n,a,,n,e,t,b,f,k,w,n,p,w,,p,h,c,
p,x,f,,t,f,f,c,b,b,t,,k,,p,p,p,w,,f,n,v,g
e,,f,,f,m,f,c,n,b,t,r,s,s,w,o,p,w,o,l,,v,d
e,k,,e,f,,a,w,b,k,t,c,s,f,g,n,,o,n,e,o,a,d
p,b,s,y,f,,f,c,n,g,e,e,f,k,,n,p,o,o,f,r,v,p
e,,y,r,f,n,f,c,b,k,e,c,s,k,p,p,,w,o,f,k,v,d
e,x,s,e,f,,f,c,,w,e,?,k,k,p,c,p,o,o,f,k,,d
e,k,,e,t,f,,c,,u,e,?,k,,p,g,p,w,,,n,a,g
e,f,y,e,t,s,a,c,,k,e,,s,s,p,p,p,,o,p,w,y,g
p,f,s,y,f,f,f,c,b,,t,b,s,y,p,n,,w,o,l,h,y,d
p,f,s,,t,f,f,w,b,p,t,b,k,k,w,p,p,w,n,l,k,,w
p,x,s,b,f,,a,,b,g,e,b,k,,g,w,p,w,t,,n,c,d
e,,f,e,t,f,a,c,n,,e,e,s,s,p,b,p,w,o,p,n,y,u
e,x,s,c,f,a,f,c,b,p,e,b,s,s,b,n,p,w,o,l,k,,u
e,c,s,n,f,y,f,,b,u,,,f,s,w,p,p,w,o,,,y,w
e,x,s,e,t,n,f,c,b,,t,b,,s,g,w,p,,o,p,,y,
p,x,f,n,t,n,f,c,b,n,t,?,s,y,g,e,p,w,o,l,h,n,g
p,c,f,n,t,y,f,,n,g,e,r,,,b,o,p,n,n,f,,v,g
e,b,y,,,c,f,c,n,k,t,?,f,s,w,,p,w,o,p,y,n,p
e,f,f,e,f,y,f,c,b,h,t,,s,y,c,,p,,n,p,n,a,d
e,x,y,g,f,l,,c,b,h,e,?,f,s,n,o,p,o,o,f,,v,l
e,,y,c,t,n,a,c,n,y,e,c,s,s,b,n,p,w,o,p,,s,
p,,f,e,f,s,f,c,b,b,t,?,s,y,e,w,p,w,,e,n,v,p
e,x,s,,t,n,f,c,b,,,e,s,s,w,o,p,w,t,l,,c,p
p,f,y,,f,,f,c,n,u,t,b,k,k,w,p,,,o,e,,y,g
e,x,y,g,,c,,c,n,,t,e,,k,y,p,p,,n,p,w,v,p
e,x,y,b,t,,f,,,u,e,,,k,w,w,p,y,o,p,r,,m
e,k,s,g,t,n,f,c,b,p,e,?,k,s,w,p,p,o,,e,w,n,u
e,,,g,f,n,f,c,b,n,,b,k,s,g,w,p,w,o,e,,n,d
e,f,y,g,t,n,f,w,,,t,e,y,k,e,y,p,w,o,p,k,v,g
p,k,s,e,f,y,f,w,,p,e,?,k,y,w,w,,w,o,l,w,v,p
p,,y,w,f,y,f,c,b,n,e,b,f,s,w,,p,,t,e,h,s,
e,k,f,e,,n,f,c,b,w,t,?,y,s,w,n,p,w,t,p,k,y,g
p,x,s,g,f,f,f,c,b,p,t,e,,f,g,e,,w,o,e,n,s,g
e,c,s,n,t,l,f,w,b,w,t,,k,k,b,w,p,w,t,l,k,v,g
e,f,s,y,,n,,c,b,w,,,k,y,,p,p,w,t,e,o,c,d
e,f,f,n,t,n,f,c,,,t,?,k,k,w,w,p,w,o,e,h,y,d
e,x,s,g,f,a,a,c,b,g,t,,s,k,g,w,p,w,o,l,n,v,
p,f,y,c,f,m,f,w,b,w,e,,y,y,b,c,p,,n,n,u,c,m
e,s,f,r,f,a,f,c,n,o,e,b,s,s,w,w,p,y,o,,n,y,g
e,,,g,t,n,,c,b,,t,b,s,k,e,p,p,w,,,w,a,g
p,f,f,,t,y,f,c,,,t,?,y,,y,w,p,w,,,n,n,d
e,f,f,g,,n,f,w,b,b,t,b,f,k,n,w,p,w,t,p,h,,d
e,b,y,p,t,c,f,c,b,h,,c,f,k,w,w,p,w,o,e,w,y,g
e,x,y,e,f,n,,w,b,,t,r,s,s,,w,p,w,o,e,n,v,d
e,b,,w,f,m,f,c,,g,t,c,k,s,w,n,p,,t,p,k,v,
p,b,y,,,p,f,c,b,,t,e,s,,y,w,p,y,o,n,,y,u
p,c,y,g,f,f,f,c,b,r,t,,y,f,c,p,,w,o,p,n,a,p
p,f,s,y,t,f,f,c,b,b,e,c,,,o,g,p,w,o,e,r,y,p
p,s,y,n,f,n,f,c,b,,,e,f,y,,b,p,o,o,e,w,a,l
p,k,y,w,f,s,f,c,,g,e,?,,f,w,g,p,w,t,p,h,n,u
p,x,f,y,,f,f,c,n,b,e,b,s,s,,w,,w,o,,,v,m
p,x,y,g,t,f,f,c,n,,e,b,s,s,p,,p,w,o,n,n,s,m
e,x,s,n,t,n,a,c,b,k,e,b,k,f,o,w,p,n,o,p,r,v,d
p,k,s,c,t,f,f,,n,w,e,b,s,k,e,w,p,w,o,p,n,v,d
e,k,f,n,t,s,f,,n,y,t,c,s,s,p,p,p,w,o,p,n,s,
e,x,s,w,f,n,a,w,b,h,t,e,,f,w,p,p,o,n,e,r,n,
p,x,y,w,f,a,f,w,b,,e,?,s,s,w,g,p,y,o,p,n,y,p
e,s,f,g,t,m,,w,b,,t,b,k,k,c,w,p,y,,l,n,s,g
p,f,g,e,,a,f,c,b,h,e,e,s,k,p,w,p,o,o,n,o,v,u
p,,f,,f,s,f,c,n,w,e,,s,s,w,w,,n,,e,u,,m
e,b,s,n,f,n,a,w,b,,e,,y,s,w,o,,o,,f,,v,w
e,k,,g,f,n,f,c,b,w,e,,y,k,g,e,p,n,o,,n,s,d
p,f,y,u,f,n,,c,n,b,e,b,s,f,e,w,p,w,t,p,n,s,u
p,x,f,u,t,l,f,w,b,,e,e,s,k,w,b,p,,o,e,b,s,p
p,x,,n,t,m,f,c,b,u,e,b,s,f,n,o,p,w,o,l,k,c,d
p,c,,r,,f,a,c,b,p,t,,k,,p,n,p,n,n,l,h,n,p
e,x,y,e,t,n,f,c,b,p,t,b,f,,e,,p,o,o,,n,v,d
e,,s,n,t,,f,w,n,o,,e,s,s,b,g,p,w,,p,n,c,d
p,x,y,e,f,s,f,c,n,,,?,k,s,w,w,p,n,o,e,b,n,d
e,x,,g,f,n,f,c,b,n,e,b,k,s,w,,p,o,o,e,,v,m
e,x,s,b,f,y,a,,n,h,t,r,f,f,w,w,p,w,t,,n,a,g
e,,s,g,t,s,a,c,b,,t,e,s,,w,n,p,,n,l,k,y,g
p,f,s,c,f,,f,c,b,b,e,,f,,p,,p,o,o,,y,v,d
p,f,g,w,f,s,f,w,b,b,t,b,k,,p,,p,y,o,p,h,s,p
e,b,y,n,f,c,,c,b,y,e,r,f,s,,w,p,o,,e,,,d
e,x,y,e,t,y,f,c,b,u,e,e,,s,,b,p,w,o,p,,s,g
e,b,s,e,t,f,f,,b,,e,e,k,f,w,p,p,w,o,l,,y,
e,b,s,p,f,n,a,,n,y,e,e,s,f,g,n,p,w,o,p,w,v,g
e,k,f,u,t,l,f,w,n,w,e,b,s,s,p,w,,o,n,e,r,,d
e,x,g,g,f,n,f,w,n,g,,,s,s,w,w,p,n,o,p,y,v,d
p,f,g,g,f,a,f,c,n,h,t,e,,s,w,w,p,y,o,l,r,y,d
e,,y,w,t,,f,c,b,p,t,,f,k,e,b,,y,o,p,w,c,
p,,y,g,f,l,f,c,b,u,t,b,k,s,p,b,p,w,,l,h,y,g
e,f,f,c,f,n,f,c,b,e,t,b,s,y,o,b,p,w,,p,o,y,d
e,x,f,y,t,n,f,c,b,n,t,b,s,s,p,,p,w,o,,h,a,d
p,c,s,u,t,f,a,c,b,p,,e,f,s,,g,p,w,o,,w,c,w
e,x,f,,t,n,f,c,b,p,e,c,s,s,w,w,p,w,n,p,w,v,u
e,f,f,e,f,y,f,c,b,p,e,,f,k,b,,p,o,n,p,w,y,d
e,f,y,,f,n,f,w,b,e,t,?,s,y,p,w,,,o,p,n,,d
p,f,y,n,t,s,a,,n,b,t,c,k,s,w,o,p,w,o,e,w,s,l
e,c,g,,f,l,f,c,,e,t,?,f,s,w,p,p,,o,f,w,y,l
p,x,g,e,,,a,c,,b,e,e,,s,n,p,p,w,o,l,o,c,l
p,c,f,g,t,a,f,,b,h,t,b,k,f,p,c,p,w,o,p,r,,p
p,x,y,e,,s,f,c,b,g,t,e,,s,n,n,p,w,,l,h,,
e,x,y,c,t,n,f,c,b,b,e,?,f,s,p,c,p,n,,,k,y,d
p,b,y,n,f,l,f,c,b,b,e,?,k,s,p,o,p,w,,l,w,n,p
e,x,,g,f,n,f,w,n,w,,c,s,s,p,e,p,w,o,,b,v,l
e,f,s,y,t,n,f,c,b,o,e,,k,s,w,g,p,n,o,p,k,,g
e,,y,n,t,,f,c,,o,t,b,,s,g,,p,w,,p,n,y,d
e,k,s,,f,s,f,c,b,w,e,?,s,s,w,,p,w,o,p,,,u
e,k,y,,t,y,f,c,n,r,e,c,s,s,p,c,p,y,o,,w,y,p
p,,y,e,,p,,c,n,b,,e,f,y,e,,,w,n,e,w,v,g
p,,,w,,p,a,c,n,p,e,,s,k,y,c,p,w,t,n,w,y,g
e,x,f,n,f,c,f,c,,p,t,b,,s,w,,p,w,o,l,y,n,d
p,b,f,y,f,f,f,c,b,h,t,b,s,k,y,n,p,w,o,e,o,v,g
p,k,y,w,f,n,f,w,b,h,t,b,s,s,g,n,p,y,o,p,w,v,
p,x,f,,t,c,f,c,n,n,t,e,k,s,p,c,p,y,o,,k,v,u
e,x,y,y,t,,f,c,n,p,t,b,,s,,p,p,,o,l,h,v,d
p,f,g,g,t,l,a,c,n,p,t,e,f,y,e,w,p,o,o,,b,v,d
e,x,s,e,f,n,f,c,b,p,,b,k,s,w,g,p,y,o,,w,,d
p,s,,u,,f,,c,b,w,e,e,s,s,p,b,p,w,t,l,y,y,d
p,k,f,n,t,f,f,w,b,h,t,,,s,w,w,p,n,n,n,w,,d
p,b,y,,t,f,f,c,b,n,t,b,s,y,g,w,p,,,l,,s,p
e,c,s,c,t,f,f,,b,h,,b,k,s,o,,p,w,o,,u,y,
p,k,y,,t,p,f,c,n,p,t,b,s,s,w,y,p,w,o,e,,v,l
e,k,f,y,,n,f,,b,p,e,c,s,,g,g,p,w,o,p,n,v,d
p,x,s,n,t,f,f,w,b,p,t,?,k,y,,w,p,w,t,l,y,y,u
e,x,s,b,t,y,f,c,b,u,t,,s,k,o,w,p,,o,e,w,c,u
e,,y,,f,n,f,w,n,g,e,e,k,k,y,,p,w,o,p,u,c,l
e,f,y,e,t,f,f,c,n,n,t,b,y,s,g,c,p,w,o,,h,,
e,x,,g,t,a,f,c,b,,e,,y,k,w,y,p,w,n,p,w,s,d
e,x,y,n,,s,f,c,,r,,,,y,,w,p,y,o,,y,v,u
e,f,f,e,t,y,,c,b,u,e,,s,s,o,w,p,w,o,e,k,y,d
e,,y,,,n,f,,,b,e,e,k,s,w,p,p,y,o,,u,a,u
e,x,g,b,f,l,,w,n,r,e,c,f,s,w,p,p,,,p,k,v,
e,x,,e,f,y,a,c,,n,e,?,,s,w,p,p,w,o,l,h,y,g
p,f,g,w,t,,f,c,b,w,,?,,y,w,e,p,w,,e,w,y,d
p,c,s,,f,n,f,c,n,b,t,?,k,f,o,p,p,w,t,e,,v,w
e,x,,n,f,n,f,c,b,,t,?,k,s,p,b,p,n,o,p,w,v,d
e,x,f,c,f,n,a,w,,h,e,c,s,k,o,w,,w,o,,h,c,g
e,k,s,e,t,n,f,w,b,y,,,s,s,p,,p,,n,,n,,d
e,b,y,c,t,m,f,c,b,k,t,r,k,s,w,,,o,n,p,k,v,g
e,x,f,c,t,n,f,c,,n,t,e,s,,g,w,p,w,o,p,b,v,w
e,x,s,e,,n,f,,b,w,t,?,k,,b,g,p,w,o,n,r,,d
e,c,,y,f,,f,,n,p,t,b,s,k,p,p,p,w,o,p,h,y,d
p,f,y,n,t,,f,c,,h,e,r,s,k,g,p,,w,o,p,h,s,g
e,s,s,n,f,m,f,c,b,n,,c,s,k,g,g,,w,o,e,w,v,d
p,c,s,n,f,n,f,,n,k,t,?,s,,w,w,p,y,o,e,k,y,l
e,x,y,,f,,f,w,b,n,e,r,k,k,w,w,p,w,t,p,o,y,w
e,,s,n,t,,f,c,n,y,t,b,s,s,b,p,p,y,n,l,,a,u
e,f,f,,t,n,a,c,b,g,t,b,s,s,o,g,p,w,t,p,r,v,l
p,f,y,n,f,a,f,c,,,e,b,k,s,e,y,p,w,,p,w,,p
p,x,y,,f,c,f,,b,,t,e,f,,w,g,p,,o,p,r,n,g
p,b,y,g,f,f,a,c,b,n,,e,k,s,w,g,p,,,l,,y,l
e,,s,p,,,f,w,b,r,e,,,k,w,y,p,w,o,e,u,a,g
p,s,y,,f,n,,c,n,p,e,e,s,s,p,w,p,o,o,e,u,a,u
e,x,s,,f,,f,w,b,g,e,e,s,s,o,n,p,,o,e,h,y,w
p,k,s,r,f,f,,w,b,n,e,b,,y,p,n,p,w,o,p,k,a,p
e,x,s,n,t,,f,c,b,n,t,,k,k,,p,,o,t,e,n,c,p
e,x,f,n,t,,a,w,b,p,e,c,k,s,b,b,p,w,t,p,w,y,p
p,f,y,n,,f,a,c,b,b,e,?,s,s,,w,p,y,t,e,,y,
e,,,b,f,m,f,c,n,u,t,e,s,f,w,n,p,w,o,e,w,v,g
p,x,s,e,f,p,f,c,b,y,t,b,f,k,c,w,p,w,t,p,k,a,p
e,,y,n,f,n,f,c,b,w,,b,s,s,y,w,p,n,o,,w,,g
e,s,f,y,f,c,a,c,b,y,e,?,k,s,w,p,p,w,n,,h,y,l
e,f,s,w,f,y,f,w,b,w,t,b,f,k,,b,p,,n,p,o,v,l
p,x,s,n,f,,f,c,n,p,e,,s,s,p,o,p,o,t,l,k,,u
p,f,y,n,f,a,f,c,b,n,e,b,k,s,c,o,p,,o,e,n,c,w
e,x,s,w,f,c,f,c,b,w,,e,f,s,w,e,p,n,o,f,b,,
e,x,s,y,f,c,f,w,n,n,t,b,s,s,w,e,p,w,,e,n,s,g
e,k,s,b,t,n,f,c,b,y,t,?,,k,,p,p,w,t,e,w,c,w
p,x,s,w,f,p,f,c,n,b,t,?,s,s,p,w,p,y,o,p,w,n,
e,x,f,w,f,l,f,c,b,g,t,c,s,s,p,w,p,w,,p,k,s,g
e,s,y,n,f,n,f,c,b,y,t,b,,k,n,o,p,w,t,p,,s,m
e,f,y,e,,,f,w,,,,?,s,s,,y,p,w,o,p,k,c,
p,f,f,c,f,p,,c,n,g,e,?,s,y,w,g,p,w,o,,,n,d
p,s,y,w,,f,a,c,b,h,,?,k,s,w,y,p,,o,,n,c,m
p,x,s,,t,,,c,n,k,t,r,k,k,,c,p,o,o,e,k,s,p
e,x,s,c,f,l,f,c,n,,t,,,,e,w,p,w,o,p,n,y,d
p,,s,n,t,s,,c,b,h,,c,s,,y,e,p,w,,l,h,a,m
p,x,s,n,f,y,f,,n,p,t,c,s,s,b,c,p,,t,e,k,y,d
e,f,y,g,f,y,f,w,n,u,e,e,,f,e,w,p,o,o,p,,v,
e,s,y,,f,n,a,c,n,w,e,?,k,y,b,g,,,t,e,w,,u
p,x,y,n,t,,a,c,,p,e,b,,s,w,g,p,w,o,,o,s,d
e,x,f,e,t,p,f,c,b,n,t,b,y,y,w,g,p,n,o,p,k,y,d
