Language,Family,Region,Speakers,Writing System,ISO Code
Oromo,Dravidian,India,73000000,Arabic,th
Fula,Koreanic,Nigeria,460000000,Simplified Chinese,yue
French,Sino-Tibetan,West Africa,73000000,Ethiopic,hsn
Malayalam,Indo-European,China (Hong Kong),221000000,Ethiopic,zh
Burmese,Indo-European,China,50000000,Burmese,te
Bhojpuri,Kra-Dai,"Afghanistan, Pakistan",23000000,Cyrillic,mr
Vietnamese,Indo-European,Nigeria,28000000,"Shahmukhi, Gurmukhi",or
Polish,Indo-European,Ethiopia,48000000,Latin,mai
Marathi,Indo-European,Ethiopia,274000000,Latin,uk
Oromo,Kra-Dai,China,73000000,Latin,hak
Mandarin,Afro-Asiatic,China,48000000,Chinese,zh
German,Sino-Tibetan,Uzbekistan,25000000,Simplified Chinese,vi
Burmese,Indo-European,Azerbaijan,29000000,Latin,tr
Azerbaijani,Turkic,India,57000000,Cyrillic,ig
Sindhi,Indo-European,Indonesia,47000000,Devanagari,gu
Awadhi,Indo-European,Italy,75000000,Simplified Chinese,hsn
Thai,Sino-Tibetan,Ethiopia,48000000,Arabic,en
Portuguese,Kra-Dai,"Germany, Austria",128000000,"Shahmukhi, Devanagari",fa
Southern Min,Indo-European,Worldwide,57000000,Latin,vi
Hakka,Sino-Tibetan,India,69000000,Latin,fa
Persian,Turkic,Korea,69000000,Latin,awa
Bengali,Indo-European,Nigeria,50000000,Ethiopic,de
Southern Min,Turkic,"Pakistan, India",50000000,Latin,or
Jin,Indo-European,Uzbekistan,35000000,Perso-Arabic,th
Malayalam,Indo-European,"Germany, Austria",47000000,Latin,ru
Maithili,Japonic,India,460000000,Oriya,hsn
Yoruba,Sino-Tibetan,"Portugal, Brazil",24000000,Latin,om
Mandarin,Japonic,Italy,48000000,Latin,pa
Igbo,Indo-European,Philippines,82000000,Chinese,ar
English,Dravidian,India,76000000,Burmese,am
Persian,Indo-European,"Pakistan, India",76000000,Latin,yue
Azerbaijani,Indo-Iranian,China,35000000,Simplified Chinese,te
Urdu,Indo-European,India,83000000,Latin,ru
Urdu,Sino-Tibetan,Japan,69000000,Devanagari,mr
Marathi,Dravidian,Vietnam,50000000,Cyrillic,de
Fula,Indo-European,China,75000000,Latin,ig
Thai,Kra-Dai,India,73000000,Latin,hi
Malayalam,Indo-European,Turkey,48000000,Ethiopic,zh
Vietnamese,Indo-European,"Russia, Eastern Europe",75000000,Kannada,jv
Kannada,Indo-European,"Germany, Austria",77000000,Latin,en
Arabic,Indo-European,Indonesia,21000000,Latin,zh
French,Indo-European,Korea,73000000,Telugu,tl
Southern Min,Indo-European,Azerbaijan,20000000,Latin,zh
Hindi,Indo-European,Nigeria,76900000,Latin,ro
Odia (Oriya),Afro-Asiatic,Philippines,25000000,Bengali,ml
Japanese,Koreanic,China,26000000,Arabic,ff
Romanian,Indo-European,"Russia, Eastern Europe",28000000,Latin,hsn
Mandarin,Indo-European,India,29000000,Latin,cjy
Sundanese,Sino-Tibetan,India,69000000,Telugu,wuu
Korean,Sino-Tibetan,India,76000000,Tamil,tr
Xiang (Hunanese),Kra-Dai,Indonesia,73000000,Chinese,tr
Marathi,Indo-European,"Middle East, North Africa",24000000,Latin,uk
Bhojpuri,Sino-Tibetan,India,23000000,Latin,ig
Sindhi,Indo-European,Myanmar,32000000,Latin,gu
Bhojpuri,Turkic,Turkey,82000000,Latin,ko
Sindhi,Indo-European,Korea,50000000,Chinese,it
Vietnamese,Indo-European,Worldwide,50000000,Cyrillic,pa
Amharic,Indo-European,"Afghanistan, Pakistan",47000000,Latin,nan
Hakka,Indo-European,Indonesia,379000000,Tamil,pt
Russian,Indo-European,Turkey,379000000,Devanagari,ml
Javanese,Indo-European,India,47000000,Perso-Arabic,or
Persian,Indo-European,Iran,76000000,Bengali,uz
Awadhi,Indo-European,China,76000000,Latin,om
Yue (Cantonese),Japonic,Nigeria,73000000,Chinese,zh
Yoruba,Afro-Asiatic,Romania,460000000,Latin,th
Russian,Indo-European,India,57000000,Bengali,am
Persian,Dravidian,Thailand,125000000,Gujarati,my
Hausa,Sino-Tibetan,Ethiopia,27000000,Latin,ig
Persian,Sino-Tibetan,India,379000000,Chinese,ha
Ukrainian,Afro-Asiatic,Azerbaijan,47000000,"Kanji, Hiragana, Katakana",th
Hindi,Sino-Tibetan,Nigeria,50000000,Latin,ko
Southern Min,Sino-Tibetan,Myanmar,23000000,Arabic,ta
Mandarin,Indo-European,"Germany, Austria",128000000,Latin,en
Tagalog,Sino-Tibetan,India,57000000,Traditional Chinese,mr
Burmese,Indo-European,Turkey,50000000,Devanagari,ff
Persian,Sino-Tibetan,Nigeria,73000000,"Shahmukhi, Gurmukhi",te
Gujarati,Dravidian,Romania,75000000,Latin,om
Italian,Indo-European,India,230000000,Latin,bn
Polish,Indo-European,China,29000000,Latin,hak
Hindi,Turkic,Turkey,47000000,"Shahmukhi, Gurmukhi",ro
Pashto,Sino-Tibetan,Poland,26000000,Malayalam,su
Oromo,Indo-European,China,20000000,Arabic,th
Marathi,Indo-European,India,50000000,Latin,wuu
Ukrainian,Indo-European,India,50000000,Cyrillic,mr
Yoruba,Turkic,India,57000000,Devanagari,cjy
Italian,Indo-European,Worldwide,48000000,Tamil,sd
Korean,Indo-European,"Pakistan, India",918000000,Latin,am
Korean,Indo-European,China,73000000,Hangul,tl
Igbo,Indo-European,Thailand,75000000,Latin,hak
Amharic,Indo-European,Ukraine,48000000,Latin,de
German,Kra-Dai,Azerbaijan,83000000,Burmese,my
Korean,Dravidian,India,32000000,Arabic,su
Hakka,Niger-Congo,"Middle East, North Africa",28000000,Kannada,ml
Japanese,Afro-Asiatic,Thailand,57000000,Traditional Chinese,ha
German,Indo-Iranian,China,60000000,Latin,fr
Uzbek,Indo-European,India,379000000,"Kanji, Hiragana, Katakana",az
Bengali,Indo-European,China,20000000,Thai,my
Portuguese,Dravidian,Worldwide,69000000,Perso-Arabic,cjy
Ukrainian,Afro-Asiatic,Romania,460000000,Tamil,ro
Arabic,Sino-Tibetan,Uzbekistan,34000000,Burmese,cjy
Thai,Afro-Asiatic,Vietnam,274000000,Latin,cjy
Kannada,Sino-Tibetan,Worldwide,128000000,Simplified Chinese,az
Persian,Niger-Congo,Japan,379000000,Arabic,uk
Uzbek,Indo-European,Nigeria,50000000,Latin,mr
Japanese,Indo-European,China,50000000,Perso-Arabic,fr
Romanian,Koreanic,"Russia, Eastern Europe",26000000,Ethiopic,jv
Italian,Indo-European,"Pakistan, India",274000000,Latin,yue
Turkish,Indo-Iranian,China,50000000,Latin,ig
Tamil,Afro-Asiatic,Azerbaijan,67000000,Bengali,or
Mandarin,Indo-European,Uzbekistan,76000000,Latin,mai
Maithili,Indo-European,India,60000000,Perso-Arabic,ja
Japanese,Indo-European,"Pakistan, India",128000000,Latin,ig
Amharic,Indo-European,Romania,23000000,Latin,wuu
Malayalam,Indo-European,Thailand,379000000,Latin,ja
Vietnamese,Indo-European,Worldwide,29000000,Arabic,uz
Sundanese,Indo-European,China,34000000,"Kanji, Hiragana, Katakana",or
Igbo,Austroasiatic,India,29000000,Latin,ff
Persian,Indo-European,Azerbaijan,73000000,Latin,ig
Yoruba,Indo-European,India,27000000,Latin,or
Sundanese,Indo-European,China,23000000,Latin,my
Vietnamese,Dravidian,Myanmar,128000000,Latin,fa
Wu (Shanghainese),Sino-Tibetan,China,128000000,Kannada,cjy
Hausa,Dravidian,China,73000000,Simplified Chinese,ff
Mandarin,Indo-European,Uzbekistan,25000000,Cyrillic,ig
Oromo,Dravidian,China,48000000,Gujarati,am
Fula,Indo-European,Philippines,83000000,Latin,de
Jin,Turkic,Worldwide,27000000,Cyrillic,vi
Thai,Indo-European,China,28000000,Latin,hak
Sindhi,Indo-European,Turkey,60000000,Devanagari,en
Amharic,Turkic,"Bangladesh, India",76000000,"Kanji, Hiragana, Katakana",ps
Yue (Cantonese),Austronesian,"Pakistan, India",26000000,Latin,uk
English,Sino-Tibetan,India,230000000,Latin,ko
Hausa,Niger-Congo,India,20000000,Latin,vi
Hindi,Indo-European,China,77000000,Cyrillic,pa
Punjabi,Indo-European,India,230000000,Latin,fa
Jin,Dravidian,Ethiopia,50000000,Thai,yo
Sindhi,Indo-European,"Portugal, Brazil",22000000,Kannada,ar
English,Austronesian,Iran,24000000,Malayalam,mai
Javanese,Sino-Tibetan,Turkey,274000000,Latin,th
Wu (Shanghainese),Indo-European,Ethiopia,69000000,Gujarati,nan
Wu (Shanghainese),Indo-European,Indonesia,50000000,Ethiopic,ps
Xiang (Hunanese),Indo-European,"Portugal, Brazil",22000000,Ethiopic,th
Fula,Dravidian,India,20000000,Perso-Arabic,ru
Awadhi,Sino-Tibetan,Nigeria,69000000,Oriya,tr
Korean,Indo-European,India,32000000,Cyrillic,bn
Persian,Afro-Asiatic,Nigeria,24000000,Latin,yo
Italian,Koreanic,Poland,75000000,Traditional Chinese,yue
English,Dravidian,Worldwide,221000000,Ethiopic,uz
Yoruba,Indo-European,India,35000000,Bengali,fa
Javanese,Indo-European,Nigeria,83000000,Burmese,zh
Kannada,Indo-European,Ukraine,76000000,Arabic,ha
Awadhi,Indo-European,"Germany, Austria",460000000,Latin,pa
Odia (Oriya),Niger-Congo,Indonesia,82000000,Hangul,bn
Marathi,Turkic,India,29000000,Latin,my
Fula,Niger-Congo,Worldwide,82000000,Perso-Arabic,hsn
Hausa,Indo-Iranian,"Pakistan, India",48000000,Arabic,ig
Spanish,Indo-European,Italy,32000000,Latin,de
Hausa,Afro-Asiatic,"Russia, Eastern Europe",83000000,Latin,ff
Hakka,Indo-European,Iran,76900000,Devanagari,uz
Uzbek,Afro-Asiatic,"Afghanistan, Pakistan",22000000,Bengali,bho
German,Sino-Tibetan,India,23000000,Arabic,uz
Tamil,Indo-European,China,28000000,Latin,ml
Mandarin,Indo-European,Turkey,75000000,Malayalam,tl
Javanese,Niger-Congo,Ethiopia,67000000,Ethiopic,my
Marathi,Sino-Tibetan,Turkey,341000000,Latin,or
Kannada,Dravidian,Worldwide,24000000,Traditional Chinese,pa
Japanese,Indo-European,Indonesia,76000000,Ethiopic,vi
Thai,Austroasiatic,India,48000000,Latin,uz
Javanese,Austronesian,Myanmar,67000000,Traditional Chinese,hi
Urdu,Sino-Tibetan,India,21000000,Latin,cjy
Mandarin,Austronesian,Nigeria,77000000,"Shahmukhi, Devanagari",th
Wu (Shanghainese),Turkic,Nigeria,25000000,Cyrillic,my
Odia (Oriya),Indo-European,Uzbekistan,154000000,Hangul,en
Sundanese,Indo-European,China,50000000,Devanagari,ja
French,Sino-Tibetan,"Pakistan, India",274000000,Latin,th
Wu (Shanghainese),Sino-Tibetan,Poland,67000000,Latin,ur
Italian,Indo-European,China,69000000,Chinese,az
Bengali,Turkic,Worldwide,48000000,Tamil,pl
Tamil,Indo-European,India,67000000,Latin,ru
French,Sino-Tibetan,Worldwide,75000000,Hangul,su
Azerbaijani,Austronesian,"Germany, Austria",60000000,Simplified Chinese,th
Maithili,Japonic,India,154000000,Hangul,ro
Persian,Indo-European,India,28000000,Tamil,pt
Burmese,Indo-European,Myanmar,32000000,Latin,wuu
Russian,Indo-European,India,21000000,Latin,tl
Hindi,Austroasiatic,India,25000000,Tamil,sd
Wu (Shanghainese),Indo-Iranian,Worldwide,25000000,"Shahmukhi, Gurmukhi",hsn
Bengali,Dravidian,Romania,20000000,Latin,am
Vietnamese,Sino-Tibetan,Nigeria,341000000,Devanagari,om
Marathi,Indo-European,India,83000000,Latin,vi
Igbo,Indo-European,Worldwide,25000000,Latin,ja
Awadhi,Austroasiatic,Indonesia,274000000,Devanagari,bn
Polish,Indo-European,India,125000000,Chinese,mai
Vietnamese,Afro-Asiatic,Philippines,21000000,Perso-Arabic,az
Igbo,Dravidian,Uzbekistan,75000000,Arabic,gu
Persian,Indo-European,Korea,34000000,Latin,es
Awadhi,Indo-European,China,47000000,Arabic,bn
Hausa,Sino-Tibetan,"Germany, Austria",918000000,Ethiopic,jv
German,Indo-European,Japan,25000000,Ethiopic,ur
Odia (Oriya),Indo-European,China (Hong Kong),20000000,Malayalam,ig
Thai,Dravidian,India,341000000,Traditional Chinese,yue
Javanese,Indo-European,Ethiopia,50000000,Latin,tr
Southern Min,Sino-Tibetan,India,50000000,Latin,hak
Bhojpuri,Niger-Congo,"Pakistan, India",24000000,Latin,en
Uzbek,Austronesian,Worldwide,27000000,Latin,te
Oromo,Dravidian,India,82000000,Latin,tr
Arabic,Indo-European,Myanmar,50000000,Devanagari,jv
Portuguese,Turkic,Italy,57000000,Perso-Arabic,bho
Vietnamese,Indo-European,Worldwide,27000000,Chinese,it
Russian,Sino-Tibetan,Italy,23000000,Burmese,ta
Maithili,Indo-Iranian,Worldwide,274000000,Latin,th
Kannada,Turkic,Ukraine,128000000,Telugu,fr
Korean,Indo-European,China,21000000,Ethiopic,or
Bengali,Sino-Tibetan,"Pakistan, India",23000000,Simplified Chinese,pa
Maithili,Sino-Tibetan,India,918000000,Tamil,de
Italian,Turkic,Azerbaijan,50000000,Perso-Arabic,gu
Kannada,Afro-Asiatic,West Africa,21000000,Oriya,nan
Tamil,Indo-European,Nigeria,76900000,Perso-Arabic,zh
Ukrainian,Indo-European,China,20000000,Simplified Chinese,my
English,Sino-Tibetan,China,25000000,Burmese,hsn
Gujarati,Sino-Tibetan,Iran,29000000,Latin,cjy
Odia (Oriya),Indo-European,China,76000000,Hangul,jv
Mandarin,Indo-Iranian,China,221000000,Latin,ja
Burmese,Indo-European,India,128000000,Oriya,hi
Odia (Oriya),Indo-European,Romania,77000000,Traditional Chinese,cjy
Polish,Indo-European,"Russia, Eastern Europe",76900000,Oriya,sd
Gujarati,Indo-Iranian,Turkey,27000000,Traditional Chinese,en
Xiang (Hunanese),Turkic,India,24000000,Hangul,wuu
Russian,Turkic,Azerbaijan,50000000,Latin,ar
Southern Min,Turkic,Ethiopia,76000000,Simplified Chinese,jv
Sundanese,Indo-European,India,75000000,Latin,uk
Fula,Sino-Tibetan,Worldwide,21000000,"Shahmukhi, Devanagari",vi
Punjabi,Sino-Tibetan,India,73000000,"Shahmukhi, Gurmukhi",az
Mandarin,Indo-European,Worldwide,50000000,Latin,te
Tagalog,Kra-Dai,Myanmar,22000000,Simplified Chinese,pt
Japanese,Indo-European,"Pakistan, India",50000000,Latin,bho
Persian,Sino-Tibetan,Poland,28000000,Arabic,ps
Urdu,Indo-European,India,24000000,Simplified Chinese,ur
Vietnamese,Niger-Congo,"Pakistan, India",73000000,Traditional Chinese,su
Hausa,Afro-Asiatic,India,50000000,Latin,fr
Marathi,Austronesian,Romania,27000000,Devanagari,ml
Russian,Turkic,"Germany, Austria",25000000,Latin,zh
Fula,Sino-Tibetan,Thailand,76900000,Perso-Arabic,uk
Vietnamese,Turkic,India,50000000,Latin,kn
Romanian,Austronesian,Japan,48000000,Latin,ml
Malayalam,Sino-Tibetan,Ethiopia,69000000,Latin,om
Vietnamese,Sino-Tibetan,Philippines,29000000,Latin,ta
Hindi,Indo-European,"Afghanistan, Pakistan",48000000,Latin,hsn
Hindi,Indo-European,"Pakistan, India",460000000,Latin,vi
English,Indo-European,"Pakistan, India",125000000,Latin,ru
Tagalog,Niger-Congo,Philippines,379000000,Latin,ig
Portuguese,Indo-European,"India, Pakistan",28000000,Latin,ta
Russian,Japonic,India,50000000,Devanagari,ro
French,Indo-European,India,50000000,Latin,vi
Marathi,Indo-European,Indonesia,75000000,Latin,ur
Tamil,Indo-European,Ethiopia,77000000,Latin,mai
Gujarati,Dravidian,Worldwide,69000000,Latin,ja
Yoruba,Indo-European,India,27000000,Traditional Chinese,th
Tagalog,Sino-Tibetan,China,69000000,Latin,te
Turkish,Austroasiatic,Myanmar,47000000,Latin,om
Azerbaijani,Afro-Asiatic,"Portugal, Brazil",35000000,"Shahmukhi, Devanagari",kn
Spanish,Indo-European,"India, Pakistan",28000000,Traditional Chinese,jv
Arabic,Sino-Tibetan,Korea,75000000,Devanagari,bn
Uzbek,Indo-European,Worldwide,76000000,Latin,my
Ukrainian,Austronesian,Nigeria,76000000,Devanagari,sd
Telugu,Indo-European,India,274000000,Latin,pt
Awadhi,Indo-European,India,69000000,Oriya,tr
Italian,Dravidian,Indonesia,26000000,Perso-Arabic,de
Russian,Indo-European,Nigeria,47000000,Telugu,zh
Korean,Dravidian,Uzbekistan,83000000,Latin,su
Southern Min,Indo-Iranian,India,48000000,Latin,jv
Odia (Oriya),Austroasiatic,"Portugal, Brazil",23000000,Latin,ff
German,Turkic,Poland,20000000,Perso-Arabic,it
French,Indo-European,China,379000000,Tamil,vi
Italian,Afro-Asiatic,Indonesia,24000000,"Shahmukhi, Devanagari",ta
Hausa,Indo-European,China,918000000,Telugu,ko
Turkish,Niger-Congo,India,69000000,Bengali,awa
German,Sino-Tibetan,"Pakistan, India",75000000,"Shahmukhi, Gurmukhi",th
Southern Min,Indo-European,China (Hong Kong),221000000,Arabic,nan
Korean,Sino-Tibetan,Turkey,83000000,Chinese,mr
Pashto,Sino-Tibetan,"Afghanistan, Pakistan",47000000,Tamil,en
Pashto,Indo-European,Italy,57000000,Devanagari,ar
Yue (Cantonese),Sino-Tibetan,Indonesia,23000000,Latin,ur
Bengali,Indo-European,Ethiopia,379000000,Gujarati,gu
Sindhi,Austronesian,China,76000000,Latin,yue
Malayalam,Indo-European,Nigeria,47000000,Latin,cjy
Ukrainian,Indo-European,Indonesia,69000000,"Shahmukhi, Gurmukhi",uz
Oromo,Turkic,"Pakistan, India",460000000,Malayalam,ps
