City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed
Rio de Janeiro,Brazil,2023-03-25,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97
Beijing,China,2023-06-12,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0
London,UK,2023-10-27,67.97,114.57,11.57,34.89,1.6,46.13,2.36,94.86,3.01
Johannesburg,South Africa,2023-10-09,35.41,134.39,6.99,5.4,0.77,134.92,28.65,49.11,7.49
Mumbai,India,2023-02-15,53.54,101.44,96.54,21.05,3.31,187.25,10.27,95.18,3.96
Mexico City,Mexico,2023-04-11,117.95,93.33,24.62,5.84,7.3,161.08,11.33,16.16,6.77
Toronto,Canada,2023-12-03,24.11,168.42,57.92,23.16,8.35,178.71,1.37,70.73,0.56
Berlin,Germany,2023-06-12,138.71,29.36,56.09,32.84,9.67,106.91,11.45,67.73,14.08
Paris,France,2023-10-24,11.79,147.53,18.63,25.38,5.34,31.37,-8.57,98.65,16.23
Cairo,Egypt,2023-09-07,18.33,114.51,35.85,22.13,9.76,134.35,22.23,45.8,8.86
Johannesburg,South Africa,2023-04-06,135.47,105.67,10.03,6.66,5.58,70.22,27.81,95.91,17.88
Bangkok,Thailand,2023-09-10,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16
Rio de Janeiro,Brazil,2023-02-13,40.46,44.61,62.05,27.29,1.59,110.95,16.05,10.7,1.73
Rio de Janeiro,Brazil,2023-09-19,85.89,100.87,45.18,20.98,0.86,157.35,33.0,17.35,15.49
Rio de Janeiro,Brazil,2023-03-12,69.11,66.95,93.83,9.47,7.44,85.1,-0.95,51.4,13.14
Moscow,Russia,2023-10-28,83.43,147.22,69.61,1.96,5.25,62.63,24.1,24.44,12.21
Mumbai,India,2023-10-18,89.49,22.58,77.46,46.77,8.69,37.15,-2.42,61.29,5.27
Mexico City,Mexico,2023-04-14,128.8,78.22,82.96,33.73,7.26,130.11,7.37,60.6,1.18
Paris,France,2023-11-25,74.27,22.48,28.34,5.19,4.51,85.87,25.05,12.73,18.83
New York,USA,2023-03-11,71.19,152.28,59.61,38.15,8.53,95.3,33.59,43.37,13.96
Madrid,Spain,2023-03-24,138.01,144.76,43.96,34.38,6.38,143.06,29.42,83.88,11.12
Istanbul,Turkey,2023-03-26,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73
Istanbul,Turkey,2023-06-19,130.25,146.3,69.33,10.69,6.42,161.41,37.59,41.41,4.12
Cairo,Egypt,2023-06-18,65.66,193.75,82.38,28.86,0.57,179.54,10.24,56.47,19.62
Sydney,Australia,2023-12-19,100.49,158.5,64.92,5.32,3.17,114.58,3.86,98.74,4.98
Istanbul,Turkey,2023-09-01,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01
Cairo,Egypt,2023-07-14,119.63,80.06,77.28,32.73,0.64,11.24,26.71,53.75,12.07
Los Angeles,USA,2023-04-24,148.05,84.57,97.71,11.14,5.82,194.72,27.69,10.62,7.55
Toronto,Canada,2023-12-24,103.62,190.24,12.28,36.23,5.55,166.62,4.38,28.07,9.65
Moscow,Russia,2023-01-21,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22
Mumbai,India,2023-05-22,37.66,122.96,60.73,24.27,2.71,188.61,28.2,29.19,18.52
Paris,France,2023-06-08,72.8,63.12,81.99,36.2,2.15,14.26,23.55,74.17,10.85
Mumbai,India,2023-08-23,77.45,151.21,14.56,5.74,6.17,147.87,-7.47,52.02,8.94
Mexico City,Mexico,2023-05-01,146.72,11.9,40.6,48.84,9.17,11.93,20.65,79.13,6.16
Rio de Janeiro,Brazil,2023-07-02,32.33,105.66,24.29,19.0,3.99,99.94,37.9,86.03,4.22
New York,USA,2023-06-06,21.8,71.51,74.7,11.27,1.75,76.6,39.05,34.01,11.81
Rio de Janeiro,Brazil,2023-10-06,87.07,85.19,88.69,35.81,6.08,182.3,32.33,99.66,2.77
Cairo,Egypt,2023-12-27,55.44,191.06,40.02,18.4,3.37,67.35,-9.62,60.97,5.11
Mumbai,India,2023-06-26,144.95,158.4,90.01,1.89,1.8,73.86,38.4,48.53,11.91
Tokyo,Japan,2023-05-28,9.9,65.66,23.25,42.52,5.02,176.46,22.63,67.51,11.56
Bangkok,Thailand,2023-10-10,63.9,119.19,27.63,44.65,8.45,24.76,13.46,53.64,9.19
Sydney,Australia,2023-09-02,44.14,173.54,55.14,11.35,7.25,27.23,22.05,46.55,1.8
Cairo,Egypt,2023-10-20,106.05,34.58,50.65,26.87,0.68,56.14,7.02,33.74,10.07
Los Angeles,USA,2023-05-24,142.44,78.09,39.89,48.76,2.77,78.37,8.84,60.08,14.92
Paris,France,2023-08-12,115.9,192.59,40.41,39.68,4.11,88.56,9.39,54.5,9.92
Mexico City,Mexico,2023-05-10,5.49,113.31,68.29,13.41,8.85,187.1,33.67,62.82,14.94
Paris,France,2023-02-11,20.02,148.55,79.87,5.58,0.74,31.16,-3.18,39.03,8.06
Mumbai,India,2023-06-10,114.16,73.74,25.42,19.3,0.19,124.68,32.84,27.76,16.7
Paris,France,2023-03-21,123.26,85.23,39.19,8.13,6.68,142.73,8.29,37.2,4.2
Los Angeles,USA,2023-10-02,137.18,59.78,29.19,49.83,8.61,29.87,24.54,52.16,13.81
Istanbul,Turkey,2023-03-18,5.66,54.26,54.62,32.82,5.78,185.95,37.41,37.95,19.74
Rio de Janeiro,Brazil,2023-09-11,106.04,147.05,27.88,2.34,2.46,84.55,5.6,21.8,11.62
Toronto,Canada,2023-10-16,82.5,45.4,46.54,45.4,0.63,43.62,36.51,99.24,12.5
Seoul,South Korea,2023-08-06,63.6,63.1,29.12,7.0,2.99,199.32,-7.2,39.82,10.76
Bangkok,Thailand,2023-05-18,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67
Berlin,Germany,2023-06-24,88.0,69.23,83.63,36.93,2.29,85.15,39.02,64.91,2.02
Madrid,Spain,2023-10-15,27.86,70.02,64.94,30.54,6.32,27.87,6.87,37.26,2.56
Madrid,Spain,2023-06-27,47.84,159.0,52.49,39.71,4.07,176.78,-9.47,93.63,19.84
Sydney,Australia,2023-03-15,84.92,169.36,86.84,14.75,3.89,121.46,24.36,99.58,16.67
Rio de Janeiro,Brazil,2023-10-06,66.75,50.87,33.48,17.33,3.84,173.76,39.67,66.72,7.65
Rio de Janeiro,Brazil,2023-09-09,129.75,26.93,72.63,16.66,6.64,137.63,0.6,55.79,1.13
London,UK,2023-02-17,143.09,175.85,44.14,20.59,3.92,160.2,-0.47,66.37,1.31
Bangkok,Thailand,2023-08-26,91.48,146.71,73.79,17.95,3.3,66.59,37.89,70.78,10.96
Sydney,Australia,2023-01-08,84.35,74.41,41.19,5.29,5.17,155.78,26.49,87.74,11.58
Mexico City,Mexico,2023-06-02,145.71,24.21,29.87,39.23,9.41,52.36,20.31,65.57,19.24
Cairo,Egypt,2023-01-11,15.49,166.6,16.59,27.53,0.47,53.49,25.68,23.47,13.07
London,UK,2023-09-12,140.7,109.91,37.91,40.65,2.79,192.33,37.79,10.6,8.44
London,UK,2023-05-01,143.68,164.82,51.3,14.49,1.81,181.42,16.03,86.26,2.3
Istanbul,Turkey,2023-11-27,41.93,96.3,66.84,2.82,4.23,180.66,35.36,50.23,15.27
Bangkok,Thailand,2023-11-02,97.61,22.7,14.7,45.45,3.59,70.76,23.04,14.98,8.64
Rio de Janeiro,Brazil,2023-08-06,29.09,93.21,7.69,17.97,3.75,80.85,29.58,69.71,12.13
Rio de Janeiro,Brazil,2023-08-10,16.76,102.65,65.51,48.63,3.71,14.45,1.21,23.94,15.34
New York,USA,2023-06-16,134.05,182.71,19.94,38.66,1.06,83.26,34.37,64.41,16.65
Beijing,China,2023-05-25,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15
Mexico City,Mexico,2023-08-19,117.64,186.7,49.27,33.49,4.01,36.93,-5.73,58.29,15.07
Mexico City,Mexico,2023-04-27,61.51,60.47,42.52,30.08,5.99,134.57,39.0,11.76,7.1
Toronto,Canada,2023-10-28,42.79,186.5,34.72,32.75,4.05,165.8,15.76,19.82,16.22
Dubai,UAE,2023-12-10,99.67,182.25,15.05,30.31,0.71,104.82,17.65,72.44,6.78
Bangkok,Thailand,2023-01-23,43.62,96.22,91.76,46.28,0.62,135.4,35.98,51.28,11.73
Beijing,China,2023-12-17,104.18,150.19,44.32,12.11,4.76,162.48,13.06,92.3,18.97
Madrid,Spain,2023-07-17,132.13,125.22,51.69,29.84,3.87,160.86,-8.56,51.01,3.96
Berlin,Germany,2023-09-09,122.71,110.47,78.72,45.35,2.38,89.7,30.95,30.06,10.06
Cairo,Egypt,2023-11-21,82.76,11.97,45.12,21.02,2.78,192.53,-8.58,40.44,16.83
Tokyo,Japan,2023-03-19,116.55,15.85,8.0,48.47,3.81,106.48,12.08,47.46,2.04
Mumbai,India,2023-05-22,76.49,157.45,33.55,17.71,2.43,124.68,1.07,54.9,0.72
Bangkok,Thailand,2023-08-12,148.44,193.88,24.88,7.26,9.12,10.37,36.0,47.83,11.48
Bangkok,Thailand,2023-12-09,7.17,67.57,40.12,24.43,0.56,145.28,5.5,73.42,5.22
Los Angeles,USA,2023-12-28,58.13,81.33,31.67,8.3,1.95,167.79,0.32,86.18,4.74
Johannesburg,South Africa,2023-05-26,81.57,125.21,27.25,10.14,5.23,133.79,19.49,84.25,18.29
Los Angeles,USA,2023-02-28,106.1,192.72,87.56,30.66,9.42,84.44,9.32,34.94,2.89
Cairo,Egypt,2023-09-04,113.13,196.42,75.01,27.82,1.86,135.44,30.27,87.22,8.1
Dubai,UAE,2023-02-13,36.24,57.46,21.67,49.47,7.87,159.22,-8.97,59.82,18.5
Bangkok,Thailand,2023-03-27,109.45,135.77,89.51,49.18,2.14,40.67,6.52,77.24,17.63
New York,USA,2023-06-21,87.36,75.87,22.89,23.88,4.58,98.42,23.67,55.59,9.74
Bangkok,Thailand,2023-06-27,24.85,27.35,27.68,44.03,7.68,33.61,26.68,76.15,9.0
Paris,France,2023-09-03,101.21,70.07,43.33,28.93,4.19,20.25,-8.26,72.42,6.54
New York,USA,2023-08-24,27.18,26.47,66.21,45.15,5.42,139.81,4.46,30.05,1.57
Beijing,China,2023-10-09,18.23,85.36,59.85,46.99,8.92,121.09,3.44,40.15,18.89
Toronto,Canada,2023-06-21,76.83,99.21,70.75,15.22,5.27,185.11,23.05,48.47,9.14
Dubai,UAE,2023-04-27,103.53,86.55,32.2,28.73,5.87,12.05,-8.35,15.23,13.42
Madrid,Spain,2023-06-21,142.21,73.79,19.41,2.3,5.31,49.86,1.93,35.25,15.1
Cairo,Egypt,2023-07-12,48.36,181.74,95.72,1.04,9.15,79.65,38.31,74.78,6.27
Rio de Janeiro,Brazil,2023-08-01,140.81,112.01,92.23,19.31,1.84,162.49,-5.06,21.72,11.02
Berlin,Germany,2023-04-18,36.97,174.27,92.31,5.83,6.72,53.04,2.67,19.65,18.08
Dubai,UAE,2023-12-24,7.9,176.85,63.2,12.53,4.17,195.52,19.83,66.06,11.92
Dubai,UAE,2023-10-22,48.53,58.95,86.86,30.17,3.44,189.93,-5.37,55.04,3.76
Madrid,Spain,2023-10-12,56.2,115.21,37.11,18.8,3.22,18.7,7.2,89.72,14.71
Tokyo,Japan,2023-11-17,106.97,143.17,49.0,21.1,3.06,184.43,38.23,81.14,15.34
Moscow,Russia,2023-10-23,133.99,193.54,49.1,45.92,9.06,132.52,0.34,99.63,16.47
Berlin,Germany,2023-01-10,22.05,196.64,59.36,23.47,1.47,178.93,19.26,65.73,2.78
Moscow,Russia,2023-01-22,23.26,31.18,72.35,23.0,1.19,47.33,22.75,31.57,18.98
Toronto,Canada,2023-05-22,107.28,50.78,32.19,46.2,7.22,180.13,19.77,35.36,14.9
New York,USA,2023-12-25,51.23,197.82,80.38,47.53,1.74,20.81,33.91,63.69,18.45
Mumbai,India,2023-03-13,142.55,189.38,7.66,7.98,6.92,56.56,16.42,91.71,5.17
Madrid,Spain,2023-03-15,105.74,182.03,44.08,2.95,2.88,35.15,16.07,50.22,16.47
Tokyo,Japan,2023-06-17,93.68,59.02,30.01,26.48,4.69,171.34,1.8,55.67,11.77
Istanbul,Turkey,2023-08-28,134.62,165.45,83.39,39.7,5.1,41.31,11.75,51.71,2.71
New York,USA,2023-11-22,75.67,56.37,94.76,21.73,7.69,133.39,-6.52,10.92,2.91
Berlin,Germany,2023-11-19,135.33,46.11,89.69,29.94,9.83,186.39,27.04,95.78,0.85
Rio de Janeiro,Brazil,2023-06-01,62.61,194.27,60.84,44.48,1.27,156.38,0.17,30.73,11.0
Rio de Janeiro,Brazil,2023-07-28,20.56,19.06,85.27,10.54,3.19,58.93,25.81,91.46,18.5
Bangkok,Thailand,2023-07-27,109.92,158.76,37.26,5.75,5.74,82.29,15.96,86.54,19.14
Berlin,Germany,2023-11-21,141.59,176.33,84.38,39.38,1.96,169.19,7.3,11.72,16.31
Berlin,Germany,2023-12-24,37.63,141.74,67.32,12.82,5.07,58.86,9.44,77.1,15.91
Johannesburg,South Africa,2023-08-17,108.32,153.08,14.25,34.62,6.1,83.46,18.41,20.11,9.27
Tokyo,Japan,2023-02-24,122.81,124.47,53.19,21.88,9.94,10.11,18.04,12.19,14.71
Toronto,Canada,2023-01-13,13.93,188.98,61.63,6.29,2.55,70.5,3.38,93.85,16.04
Istanbul,Turkey,2023-11-03,71.6,168.4,14.88,44.17,5.24,140.11,22.4,77.04,19.8
London,UK,2023-09-20,18.87,67.55,29.58,48.67,4.96,80.61,21.13,75.0,4.83
Dubai,UAE,2023-09-25,22.27,20.48,92.96,8.74,3.51,46.73,18.99,36.0,14.83
Sydney,Australia,2023-12-02,21.63,131.64,91.93,25.92,7.8,39.01,-2.21,72.86,4.64
Bangkok,Thailand,2023-12-02,147.95,46.83,30.12,49.26,3.46,111.03,-3.78,53.9,15.74
Istanbul,Turkey,2023-06-12,58.33,103.74,27.16,45.17,8.61,100.1,34.87,94.52,9.38
Dubai,UAE,2023-08-14,113.57,182.44,98.62,6.65,7.32,59.75,4.67,79.9,9.85
Rio de Janeiro,Brazil,2023-05-18,143.17,67.59,34.91,17.05,1.49,158.04,-3.04,98.52,15.61
Rio de Janeiro,Brazil,2023-08-02,138.6,95.56,26.64,32.72,4.96,48.36,-1.8,43.02,1.98
Johannesburg,South Africa,2023-08-13,95.78,120.41,13.53,2.44,4.76,158.63,8.73,99.86,7.65
Beijing,China,2023-07-21,105.15,30.89,27.79,9.66,7.34,123.33,-0.0,26.84,7.27
Sydney,Australia,2023-12-17,99.12,100.43,22.45,6.89,2.18,87.89,20.95,98.42,6.51
London,UK,2023-03-16,32.26,174.93,32.57,45.86,6.43,68.5,39.37,47.69,12.27
Los Angeles,USA,2023-11-20,51.0,65.02,37.8,18.2,0.64,186.14,25.39,36.57,1.16
Sydney,Australia,2023-06-17,107.15,21.99,69.3,31.19,6.65,112.04,5.17,33.45,16.69
Tokyo,Japan,2023-07-24,111.68,148.39,96.6,44.06,1.4,50.25,-7.35,21.01,14.07
Moscow,Russia,2023-06-21,71.61,135.7,61.54,48.2,2.55,125.14,35.8,75.39,5.23
Mexico City,Mexico,2023-02-23,64.72,89.08,94.8,36.67,3.36,45.65,0.71,85.33,15.07
Mexico City,Mexico,2023-12-18,62.81,94.94,11.02,21.97,6.15,29.37,5.14,57.21,0.9
Moscow,Russia,2023-10-19,103.86,189.45,87.36,49.54,7.87,54.01,8.64,68.64,12.47
Bangkok,Thailand,2023-08-25,20.5,91.96,56.48,2.85,1.48,41.52,13.3,33.0,3.26
Mumbai,India,2023-11-25,17.6,75.31,92.86,28.39,6.18,94.76,39.72,18.08,6.42
Berlin,Germany,2023-04-07,56.21,162.96,68.29,3.65,8.76,59.23,25.26,24.62,1.66
Sydney,Australia,2023-09-27,78.04,81.83,46.6,45.89,6.73,164.0,16.66,28.56,10.95
Johannesburg,South Africa,2023-04-17,138.23,188.75,45.5,15.28,5.14,108.28,-6.11,35.35,12.9
Seoul,South Korea,2023-01-03,25.37,40.66,40.16,14.08,5.29,59.5,-0.64,17.92,14.71
Berlin,Germany,2023-02-11,50.44,22.91,19.01,43.73,9.82,20.52,24.69,33.8,13.54
Seoul,South Korea,2023-12-02,67.23,14.08,57.71,21.87,1.13,179.3,4.28,73.72,16.9
Sydney,Australia,2023-07-28,33.1,102.66,8.91,41.34,4.99,70.87,8.0,21.32,3.63
Mexico City,Mexico,2023-03-26,21.8,118.08,41.26,24.77,7.5,91.4,9.68,81.32,3.91
Sydney,Australia,2023-01-19,119.75,158.85,73.36,5.31,6.59,182.6,22.62,51.79,15.94
Seoul,South Korea,2023-10-11,102.58,120.35,75.83,9.4,1.68,70.86,5.25,73.3,5.45
Los Angeles,USA,2023-09-23,106.45,167.0,47.23,40.55,9.71,127.06,24.05,88.91,14.01
Moscow,Russia,2023-07-20,97.87,127.17,94.58,33.15,4.9,94.21,18.03,34.05,4.32
Seoul,South Korea,2023-06-11,77.34,167.68,77.17,30.84,5.63,32.61,11.76,19.78,7.77
Madrid,Spain,2023-07-28,14.98,80.36,63.9,21.7,9.61,46.49,12.28,14.85,4.09
Dubai,UAE,2023-05-18,64.28,154.05,75.32,28.71,4.96,159.82,29.76,47.92,17.26
Paris,France,2023-04-17,29.02,113.23,9.64,43.22,8.79,103.58,8.41,74.67,2.13
Paris,France,2023-10-17,126.39,188.12,70.48,17.84,9.75,150.32,1.24,72.93,2.71
Mexico City,Mexico,2023-08-05,134.06,22.55,58.18,28.75,8.91,61.33,16.31,43.74,3.22
Beijing,China,2023-12-16,58.77,193.29,7.16,18.05,9.11,181.85,6.05,88.84,6.59
Cairo,Egypt,2023-07-12,44.2,196.44,65.15,5.46,6.78,168.6,33.83,77.45,4.0
New York,USA,2023-09-28,97.85,104.91,49.52,30.65,4.09,16.34,36.17,18.89,8.71
London,UK,2023-03-15,32.5,120.35,66.92,30.19,2.35,58.27,9.17,83.43,19.83
Rio de Janeiro,Brazil,2023-09-13,9.19,149.75,48.8,2.58,5.73,147.61,20.94,10.05,6.97
Cairo,Egypt,2023-09-13,18.96,117.93,20.62,16.69,2.48,175.8,38.6,53.6,10.9
Madrid,Spain,2023-09-26,34.86,174.02,35.9,21.55,8.48,150.28,4.65,94.97,10.23
Mumbai,India,2023-07-18,59.78,118.64,27.66,1.68,8.25,130.26,4.61,22.35,17.07
Mumbai,India,2023-04-02,137.45,139.03,9.83,32.12,7.98,39.71,22.13,18.63,7.13
Beijing,China,2023-03-19,109.78,72.46,27.85,49.74,7.07,139.46,23.69,38.35,12.52
Seoul,South Korea,2023-02-17,28.18,197.72,49.18,23.61,2.71,82.08,13.33,17.1,11.44
Seoul,South Korea,2023-08-08,133.79,22.29,38.98,17.58,8.77,188.07,7.61,16.7,2.49
Moscow,Russia,2023-12-26,132.65,90.85,96.31,39.33,2.99,150.38,-7.38,60.54,17.06
Madrid,Spain,2023-06-26,55.22,135.61,63.23,29.75,1.29,18.18,30.88,87.69,13.32
Rio de Janeiro,Brazil,2023-07-02,112.08,25.86,19.5,28.71,2.53,96.31,15.39,19.3,9.53
Paris,France,2023-05-05,63.83,172.59,56.33,11.24,2.26,23.46,3.51,38.24,1.16
Sydney,Australia,2023-12-21,44.22,104.34,46.21,14.72,2.77,163.22,36.26,18.34,14.58
Mumbai,India,2023-02-12,24.74,118.36,74.05,10.81,0.7,188.08,19.58,67.09,8.58
Los Angeles,USA,2023-07-14,91.36,86.19,8.6,5.24,9.75,185.79,-9.6,80.93,10.8
Moscow,Russia,2023-09-25,121.88,178.08,64.42,11.73,0.89,142.32,-7.89,62.05,13.29
Mexico City,Mexico,2023-07-24,142.16,39.07,17.62,41.16,9.62,159.59,-1.57,25.73,16.75
Paris,France,2023-04-05,117.72,17.67,11.46,17.26,1.15,184.73,29.23,25.24,0.92
New York,USA,2023-07-24,39.86,161.82,9.06,32.29,6.91,20.38,-7.53,72.87,15.04
Dubai,UAE,2023-10-07,64.81,46.01,11.56,12.42,3.56,69.44,35.25,87.89,11.97
Mumbai,India,2023-06-10,77.87,147.55,89.94,48.73,3.73,148.15,13.93,72.03,16.94
Tokyo,Japan,2023-04-20,129.55,184.47,85.63,18.96,8.47,106.4,3.11,99.65,2.04
Toronto,Canada,2023-08-01,50.26,83.32,95.44,25.87,3.68,194.54,-1.52,72.95,7.44
Cairo,Egypt,2023-03-10,134.42,25.39,34.99,13.78,3.53,57.99,16.12,19.22,5.24
Berlin,Germany,2023-04-13,76.54,66.49,91.41,17.36,8.7,195.81,0.35,87.23,13.46
Dubai,UAE,2023-12-06,115.11,193.78,51.06,2.2,9.09,81.3,15.82,81.05,17.3
Dubai,UAE,2023-05-06,59.32,106.9,44.65,4.54,6.86,154.56,0.5,91.68,6.26
Mexico City,Mexico,2023-06-10,28.37,87.84,72.75,45.88,0.89,72.12,35.64,93.95,1.52
Madrid,Spain,2023-10-02,92.76,113.05,20.41,28.73,3.92,44.37,-9.67,34.16,3.62
Rio de Janeiro,Brazil,2023-01-18,136.26,179.46,90.66,2.91,8.01,119.83,31.65,97.2,18.17
Johannesburg,South Africa,2023-10-11,25.83,126.58,23.74,37.54,0.7,137.68,0.16,79.09,14.11
New York,USA,2023-05-18,62.7,184.21,28.35,33.44,0.32,44.15,27.59,29.4,1.37
Mumbai,India,2023-09-10,92.5,119.5,75.74,5.59,9.29,148.59,-1.85,74.31,2.31
Rio de Janeiro,Brazil,2023-09-23,139.36,103.33,92.92,22.79,5.69,18.84,32.55,98.3,7.39
Mumbai,India,2023-01-23,103.6,195.23,29.6,39.41,0.42,66.51,22.86,99.51,13.05
London,UK,2023-06-24,40.51,163.2,15.05,41.03,4.21,61.99,-6.46,96.65,12.5
Dubai,UAE,2023-06-17,80.09,98.01,25.86,6.46,4.24,84.81,32.02,97.54,16.79
Moscow,Russia,2023-03-04,51.69,106.89,89.04,23.04,1.24,116.55,21.02,62.98,2.09
Moscow,Russia,2023-11-19,123.46,49.77,84.0,32.36,1.94,95.78,4.75,88.64,18.11
Rio de Janeiro,Brazil,2023-03-09,104.04,92.3,39.22,1.18,3.63,74.04,9.58,22.33,6.72
Paris,France,2023-05-14,23.94,199.28,40.93,12.68,7.11,132.45,28.42,38.81,17.54
Seoul,South Korea,2023-04-11,108.09,195.37,54.9,12.47,8.09,33.01,-7.28,21.63,11.53
Dubai,UAE,2023-11-08,148.59,132.63,70.44,9.3,4.61,184.46,6.54,98.51,13.32
Madrid,Spain,2023-04-20,61.47,152.85,81.37,37.38,5.94,122.03,-3.2,60.92,19.07
Berlin,Germany,2023-10-17,17.25,38.93,79.62,31.98,1.79,150.52,-4.74,27.21,13.45
Toronto,Canada,2023-06-24,116.29,138.25,29.89,23.58,2.59,122.17,14.93,78.81,8.21
London,UK,2023-08-19,42.63,113.99,69.78,22.16,9.17,67.62,29.9,96.86,19.3
Istanbul,Turkey,2023-12-22,40.26,105.74,53.77,35.07,3.65,69.69,1.2,22.91,8.26
